Lens_name,R_Ein,R_Ein_e1,R_Ein_e2,γ,γ_e1,γ_e2,PA ext,PA ext_e1,PA ext_e2,γ ext,γ ext_e1,γ ext_e2,PA m,PA m_e1,PA m_e2,qm,qm_e1,qm_e2,PA L,PA L_e1,PA L_e2,qL,qL_e1,qL_e2
SDSSJ0008-0004,1.2247385141457758,0.009388933172922664,0.008104905069579393,1.7495325593875801,0.11957906843531285,0.1445208161733178,48.488283458455115,1.400042905934427,1.8079758959248835,0.10365144571119259,0.02344635338205797,0.018801577020962496,48.27117877382473,0.8480313974139335,0.9709033621226411,0.6008372224362128,0.019764068270200275,0.025035995751563345,62.791651507995,0.8051278048369284,0.7398947589924063,0.8563099201424593,0.004508256854137582,0.004977131285234915
SDSSJ0029-0055,0.9446925904908946,0.0027388519742362893,0.002650566573654256,2.6874663451451104,0.05261918467540516,0.0383020273000767,-25.613971923299268,8.523888386001396,9.992259448258816,0.00947345255560357,0.0045161340628746376,0.005335021747268732,63.632334770204935,1.490079861151365,1.7745290980614783,0.6638011007469069,0.03631701043660884,0.03763883002901558,63.54571940481719,0.2894130832148534,0.22992061550189646,0.837462581795497,0.0018720946349968237,0.0014663887739838621
SDSSJ0037-0942,1.475673703841136,0.006625489589695555,0.01006488475548073,2.383191573485509,0.019785060974454094,0.01761504270994152,17.204811826252456,3.74615073807192,4.438629386604294,0.023480204073730755,0.012417716455749489,0.009030480281458066,73.59606778437865,3.0858426508691394,3.5919395023405514,0.7332178353305039,0.016954680579113757,0.017500925265281686,82.75631455953531,0.08960320869842064,0.10305424955127762,0.6924890099695225,0.0008830793649895474,0.0009760169948487274
SDSSJ0252+0039,1.0283368015311731,0.0007418949395081587,0.0005521994974115874,1.549123102297036,0.03453049773880146,0.040542027279939497,-17.552154069121173,1.0086238117318658,1.1317592254303577,0.03450068695080162,0.0015888376686415684,0.001318860659026623,-17.446350231868223,0.675416905762745,0.9234259584784468,0.8922774954367942,0.003487025017447465,0.0046893621573221855,-17.941689649822735,0.8856688742830272,0.8626062715598835,0.9225264886308904,0.0018772874757131408,0.002085770875746129
SDSSJ0330-0020,1.0937393823961563,0.003271370588893152,0.0033963182129492786,2.1409626909012474,0.007647877445242202,0.006462107947869278,3.7553294800994017,3.1945006323562977,4.614279379327458,0.027815055435402445,0.0039023077080687814,0.003218281261154376,-16.38710317524908,0.6668908449771038,0.6972270374070888,0.6573719061949834,0.013984712695271906,0.01287014207127335,-19.16168898002026,0.18098459514156673,0.13271562640645485,0.7223345296379434,0.0015478292842121544,0.002220359058642596
SDSSJ0728+3835,1.260646235985115,0.002034271090667339,0.0026943915407739993,1.6365849374736783,0.014242042738667582,0.4737680702311904,25.538345015305453,12.188876285015166,1.2937801706269667,0.06843735955285651,0.003384342568593879,0.0036437903833380636,25.90140122113735,4.420572811322931,0.8852380850732864,0.7820489917453616,0.18150709885153515,0.007346974209909818,23.798507546153438,1.9091510539919803,0.16861152508413824,0.7567335848390113,0.007570829652229216,0.0012872106692791707
SDSSJ0737+3216,0.9630363075961514,0.0008650714726718967,0.0009833969818044963,2.315637764724049,0.03519394633314832,0.034480079785109474,80.73225954583714,0.40028151439561555,0.3653066092412729,0.1112564961632902,0.004525774809075289,0.0043924473031962535,-10.968416076554515,1.3503293551033746,1.3318305106836483,0.8510145564879019,0.010845463316667026,0.007591324477206451,-14.503540728603866,0.29765455878225566,0.3193581017236795,0.8637221760139744,0.0017915686941789577,0.0015244693615498184
SDSSJ0819+4534,0.7837462825717325,0.00693324008395968,0.0068133962666676595,1.8441558676719423,0.06405508419600214,0.09183353979088782,54.9597083100313,3.0977418398358125,3.0629782282387055,0.08912307441153304,0.015070671868323282,0.011563742090518844,34.89293624723442,0.8372043123324886,1.4703843717526581,0.7676850758728406,0.023998837261308137,0.02209427664989483,48.79822993547104,0.2875450270115749,0.3039331499143998,0.79393451857798,0.001546094948979615,0.001682917945860174
SDSSJ0903+4116,1.274553469078056,0.0012954117014802868,0.0017530516644139738,2.170819045781282,0.012830611992029617,0.012816583147191363,58.658099287375705,0.9095945336770939,0.821823131268502,0.06698360229433203,0.0041766824659305035,0.0021709949879524376,76.8900270776443,0.5085122382795362,0.5458276930953474,0.752850164021957,0.007676867739127791,0.01098956507009985,-88.11109090539586,0.43707497919916705,0.7521712383749986,0.8581177780066305,0.001872523393686265,0.0022202193449528673
SDSSJ0912+0029,1.608539813734784,0.0022284694949821215,0.0012786103796824655,1.5763970836560932,0.007226201285050582,0.007128881541520693,68.48215994569271,1.7834678419129375,1.623660275587639,0.031574630407994596,0.003124510663860155,0.002554989060679691,76.36418456759827,0.49794883402482526,0.47872242819886424,0.7581117571896228,0.005834188904883408,0.007154381479742233,77.1498521904447,0.052616236087629886,0.047769707037446096,0.635576682974746,0.0005866865728547666,0.0005590416832966794
SDSSJ0936+0913,1.0955039689114914,0.0031393915680348883,0.0027977565155041795,2.2104514779731135,0.02977160500619025,0.052810077853814974,-31.23177401242637,4.197263402269272,3.021201468376489,0.05292941547653107,0.007104199682907625,0.005725211847841263,-56.310187823919605,3.3315345933512077,3.042140964545311,0.7383687658493164,0.020565149566972418,0.018320207984373726,-55.88635441539763,0.1782035188004869,0.2734978609196901,0.8093329403309633,0.0021358750688974526,0.0012241854185048862
SDSSJ0959+0410,0.959698506764486,0.00182077313535578,0.0020666076638091724,2.2164734908964183,0.025731734559234276,0.023110917932860353,-28.955472723077662,4.8249571018578195,6.417524855539114,0.019630262835004825,0.002575821915413168,0.0027490831222046347,24.06323433958653,1.0899035607177439,0.994949265699681,0.731013591636781,0.01274090378726811,0.013114915260312943,32.18188180479446,0.3491393838933021,0.34936005342662213,0.733246579706502,0.003110980765255622,0.0032966190980714405
SDSSJ1023+4230,1.400195512530979,0.0022003446651621683,0.0018676175972898168,2.2222400465108616,0.049387321036730825,0.058000970735645474,5.200775648100487,1.7116527800304375,1.5800751065227416,0.03890460865110272,0.0032975351659816562,0.0037610262343579157,-63.14152126363675,0.6386826130568721,0.3222903156152199,0.9072231532428154,0.012923476364224085,0.011455019039888326,-77.77291615049666,0.15574230390218702,0.15399398558000144,0.8419164987818062,0.0008979673052507131,0.0007104930701758994
SDSSJ1100+5329,1.4608970435088762,0.00323838004849053,0.0028378789050087505,1.8932477300211232,0.03180876637358887,0.02921383062481464,50.038240064326985,3.18767433209792,2.204094641979964,0.05756563931423579,0.004980083695078012,0.005202041166693816,-10.91634015529604,0.3415454680477126,0.30122151937837316,0.612431387744974,0.007467414197487199,0.007137009948306905,-11.91246244528156,0.1206095330792607,0.11636473935157632,0.5890166990791403,0.0016175056238953989,0.0018668103237651223
SDSSJ1112+0826,1.4972212022904672,0.011531711307497527,0.009202135436994885,1.9228838259594285,0.029607660387387824,0.033021061016520026,-40.9922683188654,19.952902954483562,12.066349021725415,0.020088454673791237,0.017143894479924406,0.012038780779020479,-51.68865063014482,1.9919868095601316,1.9275231882644164,0.739835100035052,0.031896371141124535,0.03404322320970532,-46.78644876786396,0.15471621327031926,0.18463360077697644,0.7478607165631856,0.0012206623959369889,0.0012921717026420643
SDSSJ1134+6027,1.2433434058678783,0.004655714777240361,0.003817140418807652,1.7506612808115678,0.005392464786801332,0.01156410155627996,57.31473048757833,26.007629109128985,30.541664212141512,0.0019170286793265216,0.001256829184732882,0.002197035465914608,-53.84734090481241,6.489289634753945,2.4523017019110824,0.9731792876881671,0.025896207994767106,0.004893731531138035,-65.22712947814156,0.18625901808682954,0.15937228806350845,0.7990151361800775,0.0009302473458150384,0.001146997153586904
SDSSJ1204+0358,1.294818986879498,0.0023470130379985576,0.002582522997009562,2.0237109114170617,0.027586621082863694,0.0258319288797364,-52.188820172701924,3.6970194744488083,4.754338845889372,0.02283370710706112,0.003883317603872831,0.003985535233820548,19.39522453038873,2.6454361987695734,2.231661029269276,0.8969863785354681,0.011739235587776231,0.010179422655248405,21.82814041751964,12.717772263567564,9.26858162615704,0.9994577926195318,0.0005762793702492885,0.0002984337252125435
SDSSJ1213+6708,1.4511222361092915,0.004966233556607191,0.004639906409217964,1.706942029725382,0.012598815950560782,0.011986433493372584,-30.76227452470876,8.124187973157913,4.640831337431084,0.013708212753888682,0.002611552122071266,0.00230599884303705,83.66602011751525,4.418624411811891,1.1584659052421955,0.9866106100699489,0.010325884965273313,0.007722171617847606,70.20592288083907,0.26312572463838535,0.2528464709652951,0.8382951374043541,0.001300914472487813,0.0014550368739830732
SDSSJ1218+0830,1.488816882209555,0.008375689283936616,0.006944411934020289,1.9614172123057672,0.02428609776091384,0.02287204882910343,50.802491995413064,4.333544173153577,4.606173124535161,0.04150388986549587,0.00744081702873111,0.005684922517830877,39.554764038490404,1.5275467708528225,1.366398194451378,0.6395581275507418,0.01886325477001982,0.02816688948850188,40.022702238673844,0.06608470705188552,0.06187121579426247,0.6977597916927931,0.0006005501073449437,0.0006814951537632563
SDSSJ1250+0523,1.12009508419343,0.0010229215442396633,0.0013026430850271442,2.1805092080218778,0.031003577939567428,0.027794314038922963,-5.493918692764154,4.475178905572786,5.896205435309349,0.009605704445155494,0.0017938694968830087,0.0021502985327165203,-22.837468110164163,0.3982601093910709,0.4651664872225041,0.9270587881334929,0.008758603457609815,0.0071426901969426915,-8.116726305736279,0.3351805598942974,0.3526197417681942,0.8894002655726814,0.0016334288968382626,0.0019395053172757137
SDSSJ1306+0600,1.3121671321554214,0.006487856051710095,0.006353038543574385,1.9747987835420138,0.04797172222841173,0.05592838334019001,-7.871699244951941,23.521407573378774,23.76694151332807,0.00791354432951841,0.005535714793414411,0.008102747934742468,-45.72650633564679,4.354898906837647,5.423149178539639,0.8728245039084035,0.014057321169286818,0.014138952870418775,-50.34866920467259,0.6574795087761061,0.7593653676194734,0.9042134263288698,0.0017752147258581763,0.002238071552303933
SDSSJ1313+4615,1.2898465374241175,0.0053929218878989715,0.006323802651878818,2.17692512944845,0.020685457263908802,0.024531204155880282,-6.11057644069442,5.93799124002593,6.817214063486649,0.032180050345171504,0.006000739067813107,0.0055308609430778505,20.27940864437519,1.9627892155176134,2.8799578931330245,0.7551135670091695,0.021074903085218644,0.02554015079103389,32.42200293888814,0.195295915292931,0.22489821806847488,0.7935242436302002,0.0014079933955285506,0.0016165646591836946
SDSSJ1402+6321,1.3705012966563523,0.0014513491751211305,0.0038964216732801926,1.5674392837031994,0.04000302768687036,0.49891245241588145,-27.172543878191398,4.4095869293526775,29.481623747367067,0.005700212656778614,0.0019388508752735513,0.0006706599825701959,27.629573901137036,17.2731847302682,5.87318565690682,0.9960019258944675,0.1792389902289342,0.0021863472813599127,20.049800547772318,1.3796001795070758,0.23162590851940834,0.7461424205384806,0.0020791553774067717,0.012395223621937013
SDSSJ1531-0105,1.712245943197106,0.009240243924382385,0.00448836376741002,2.0654242669900693,0.1033533771844608,0.12295201375213205,-58.0515277473087,9.493975817405627,6.885297031059309,0.028850859395780096,0.022923220046433157,0.012135722079056235,-54.51452055092814,1.4227044728020672,1.2039612361788983,0.6780538774146578,0.02389453193020885,0.02345333135576011,-54.99345712612863,0.08125414788825935,0.08031863871645584,0.6678148945200342,0.0008787206553972915,0.0007525046645662226
SDSSJ1621+3931,1.266226029523218,0.0035937955177189895,0.003988486785940326,2.0245484001251857,0.05515055784418532,0.06388533092646442,1.754189062656877,17.558965127064514,18.63794476770954,0.01358489673774597,0.007588508363191978,0.007406876548568071,-43.73458417538251,3.4142758725709257,2.8892372334921106,0.7640821511055517,0.01887558283887747,0.01724330991381373,-52.608653053637255,0.21731116722448718,0.20211628878922028,0.7294685751564712,0.0015054113101032884,0.0017108811712914784
SDSSJ1627-0053,1.220765442806839,0.0006903840549414841,0.000785400544580872,1.929324422579037,0.04870759272205927,0.03657621161800839,89.36800315479512,1.3970514748524892,1.1718712479972595,0.03371686480911229,0.0022220994289812723,0.0025780283195300582,84.39405828961358,0.752663224985838,0.7037017763875468,0.8317744852225124,0.004609128480616342,0.004783062400488314,86.63386811613233,0.24883236808742026,0.24228465091366047,0.8218214948988916,0.0014956613883363445,0.0013250676588193455
SDSSJ1630+4520,1.791425972906894,0.0013016011927833304,0.0013697336316722541,1.9235314082730963,0.018210386325240968,0.020329623241503114,17.762149789054988,1.4734423577416003,1.9206810474116622,0.026142908523331367,0.0019132062660575794,0.0017320915502193543,16.41418006149025,0.6601841164704911,0.6878451297101691,0.8214679407345475,0.004108191089545854,0.0036812608754460685,19.119627825585084,0.18800060685660824,0.17831421360809685,0.8315019731659876,0.0009496649623491615,0.0007683735761074839
SDSSJ1636+4707,1.0841790566920975,0.0026010523400699093,0.0023793791881105975,1.7535988162905762,0.04229755072224339,0.26703535704364345,-76.99093308848028,8.561898355902173,42.09486567864958,0.029233255268964434,0.02587472797900805,0.0077905304266542436,-22.97015208556018,6.550849818486412,15.997595796848527,0.8838232935103119,0.15028382832584053,0.033384639182521436,-15.662507910481878,0.5509087650494564,1.9127212328210703,0.8230383204315757,0.010786662581946826,0.0031055497107755903
SDSSJ2238-0754,1.2696663616874388,0.000893081023405351,0.0010793166243434626,2.3369231829487784,0.04475634672354323,0.027514679720181956,85.06436412303734,25.951378482216498,40.88007241137129,0.002404006223722511,0.001431819064330536,0.0018492061970005868,-45.97096320556909,0.7732308284302007,0.645454842090281,0.7182301412268047,0.01339828519370645,0.01937620955817454,-51.1329677943763,0.16230575655902157,0.11975980659744323,0.774570787683069,0.0009798085020469305,0.0010790544957821613
SDSSJ2300+0022,1.2319745353520153,0.003612188345973877,0.0037180268673258077,1.6632582889104115,0.0884934650635818,0.12466760070622795,39.943178708438374,5.495539328524046,8.784602912606282,0.0443743525846307,0.005178527129521243,0.005063672950439788,17.28935178240523,2.113725896030708,1.3925774972023568,0.7930059436546901,0.0159786129970676,0.011563640929499353,4.511921729259933,0.2135522419351279,0.20365504607504015,0.7970796395307027,0.0023034660695135933,0.002231074084644513
SDSSJ2302-0840,1.0376456970235093,0.001380542532668061,0.0013652700419490849,2.5952318284785987,0.02117540620936076,0.02111578537561254,47.43976384734244,6.854385804937586,9.38720055290451,0.00952883856745784,0.0026919341255861144,0.0029820436917284837,-73.55684683266946,1.5747146758470763,1.3880345986229514,0.6579322214523473,0.01503065901500178,0.014945374480324514,-75.67730319581761,0.2024122529496566,0.2286401791283481,0.8312053273499305,0.0011512515411831181,0.001226914540624957
SDSSJ2303+1422,1.6224272502517825,0.0021770428295206923,0.001703956203343182,1.9357267053355467,0.01693172167100787,0.018941958856381502,5.650491424485157,9.590360692428249,20.743495399450016,0.0011224310982566313,0.0007276567566044266,0.0013870283816801911,55.4287576990114,0.29902897112981464,0.2626770059221428,0.6479364610429745,0.009910503193287679,0.009119858706740147,52.567469776826755,0.06447618017303114,0.0849500067945641,0.643206102392702,0.000906610255557494,0.0011084527752200923
SDSSJ2343-0030,1.5058381642200667,0.0020566384785836167,0.0019004125508459424,2.1635269436494005,0.04545497238272844,0.037383588050429406,4.5611971795809705,1.405560925339668,1.3855635603506293,0.08309327019006693,0.004025282589938617,0.004620744118339654,52.12537784035527,0.8936270413459795,0.8612613605228745,0.6918825498798327,0.015053722635669509,0.01541100479919788,51.31032590353179,0.20799423663412142,0.1658684933048704,0.6601951200264783,0.0024643833477587807,0.002452448563971643
SDSSJ2347-0005,1.077464146110116,0.004442664554169529,0.0051194813672574835,1.9793780479017515,0.02525168711549508,0.025248520139874664,26.623668951721733,3.383095231094277,3.7709969421336,0.05292683420713194,0.0077220691973775984,0.007096102848464167,64.32240587777483,1.5889401619415366,1.7038917151673445,0.6104674637758789,0.02295712744243894,0.019800133272436682,71.59712399833779,0.32209643081152706,0.2990704352335172,0.6966044974981398,0.0029597576524482694,0.002800283813855442
