lens_name,light_model,r_eff,r_eff_e1,r_eff_e2,qL,qL_e1,qL_e2,phi_L,phi_L_e1,phi_L_e2,r_sersic_1,n_sersic_1,e1_sersic1,e2_sersic1,amp_sersic_1,r_sersic_2,n_sersic_2,e1_sersic2,e2_sersic2,amp_sersic_2
SDSSJ0151+0049,single_sersic,0.716,0.004,0.003,0.6013026578602108,0.002427665390923206,0.0022699044559166826,-18.761604115236352,0.22660294171648587,0.22374652570326958,0.7164047647891236,4.0,0.19681951480061036,-0.15139013286787836,25.480396404037158,,,,,
SDSSJ0747+5055,single_sersic,1.102,0.005,0.004,0.7315630447957532,0.0022564269255925806,0.0017132119333364004,84.3110312452452,0.1924926500958719,0.22219336829434155,1.1015362456342743,4.0,-0.1519032678579147,0.030575505941259736,22.49842247676788,,,,,
SDSSJ0801+4727,double_sersic,0.671,0.021,0.022,0.9683994465879858,0.0032889336334922525,0.004372442691380041,44.32596553333457,3.195330357340886,4.599839063941985,0.30294796284467285,4.0,8.520063619594652e-06,0.016249332865657367,82.44627514394232,2.550364257280117,1.0,8.520063619594652e-06,0.016249332865657367,1.1141802466414634
SDSSJ0830+5116,single_sersic,0.76,0.003,0.002,0.7178033362572267,0.0014909494409616197,0.0019412792896758013,-31.633722397379955,0.22880906462449957,0.19307892316626862,0.7590954889762637,4.0,0.07384220683280995,-0.14649570235007175,28.163584379096932,,,,,
SDSSJ0944-0147,double_sersic,0.846,0.019,0.019,0.8382426489142907,0.003561086172501504,0.0048690959351207486,-2.4039776011470053,0.6887273163677889,0.9001302337068751,0.36837655658390106,4.0,0.08745287180222765,-0.0076503785325944505,67.06454800415786,2.448560590362586,1.0,0.08745287180222765,-0.0076503785325944505,1.681555758754232
SDSSJ1159-0007,single_sersic,0.768,0.005,0.004,0.9652417059979991,0.004156312087109426,0.004122894750228312,79.17675323107522,1.82578736141555,2.893485068327024,0.7687699738724388,4.0,-0.01631150293924959,0.0067978442702841405,23.122738979633052,,,,,
SDSSJ1215+0047,single_sersic,0.786,0.004,0.004,0.6938666792968692,0.0024235360032587305,0.002254373645698471,-59.696081207606085,0.22863816590907504,0.2650192702438545,0.7858159346928706,4.0,-0.0885705768244823,-0.15742461440773484,28.930738319144726,,,,,
SDSSJ1221+3806,single_sersic,0.635,0.003,0.002,0.852343768245394,0.003294200213816434,0.003016544837889379,20.84054045453162,0.6759366060748881,0.7359821336654662,0.6348531917444288,4.0,0.05945885566915153,0.05281385005501215,30.138061122415838,,,,,
SDSSJ1234-0241,double_sersic,1.115,0.001,0.001,0.7422950141713165,0.002702807969689136,0.0022797817955809707,-5.697389856589922,0.25175232201087283,0.32655381845353304,0.30269308622924923,4.0,0.14513811228572274,-0.029292995358245984,75.09600876989214,1.592695402857111,1.0,0.14513811228572274,-0.029292995358245984,9.806880389672784
SDSSJ1318-0104,single_sersic,0.743,0.005,0.005,0.7476532394749084,0.004325691851899793,0.0030790881983794316,-16.46069464174692,0.5995774629493908,0.529888776466878,0.7429731230008463,4.0,0.12172105517761489,-0.07811035875460717,20.209775195208664,,,,,
SDSSJ1337+3620,single_sersic,2.016,0.006,0.009,0.9574246228300392,0.0027590339900599448,0.0038949699739659893,-26.565817403075783,2.1162934284716073,2.107006606441388,2.016259674432856,4.0,0.012631413593834026,-0.017708858298107363,9.159125632900878,,,,,
SDSSJ1349+3612,double_sersic,2.402,0.088,0.09,0.7965838789102568,0.001512988894263434,0.0022775251046993628,79.50223007281875,0.33380669430144394,0.3470707680403109,1.3451917161926321,4.0,-0.10584682692610693,0.04025780181121086,15.55484351538182,5.454742971797536,1.0,-0.10584682692610693,0.04025780181121086,0.8659477760464421
SDSSJ1352+3216,single_sersic,0.686,0.003,0.003,0.9266105986202322,0.003309177389399176,0.003307746452891225,-29.86194286605184,1.8748319313158497,1.0002516275547535,0.685918623327316,4.0,0.018462399176658595,-0.033459937397200906,38.11765304555762,,,,,
SDSSJ1542+1629,double_sersic,1.455,0.016,0.016,0.788323972191401,0.0014303745486543562,0.001113101886841661,-2.1452214917888455,0.2050298042776717,0.19505436266868514,0.5407422067432471,4.0,0.11790380997556074,-0.008929149124096045,106.58879201397038,3.807709444166796,1.0,0.11790380997556074,-0.008929149124096045,2.937236360917678
SDSSJ1545+2748,single_sersic,2.342,0.009,0.012,0.6461236963898158,0.0019561320574518204,0.001942672552482927,-15.048954937353045,0.17403336086360355,0.20334595678005485,2.3414396813534677,4.0,0.18587674955055514,-0.10823169892868759,6.444052717248061,,,,,
SDSSJ1601+2138,single_sersic,0.53,0.002,0.003,0.9445578209524961,0.0018520004739515095,0.003851391628238998,-71.89649606560633,1.3262393663555656,1.5368495349238458,0.5299604556362664,4.0,-0.02254197252558502,-0.01683743060710336,53.39186602933517,,,,,
SDSSJ1631+1854,double_sersic,1.866,0.029,0.03,0.9423803052904876,0.001575444415076399,0.001333596610590515,-82.26842773610463,0.7831868270830995,0.6884896087604773,1.178043628719359,4.0,-0.028559711899214853,-0.00781534029281777,44.95925424531963,4.239627532266208,1.0,-0.028559711899214853,-0.00781534029281777,2.5350935767840497
SDSSJ2125+0411,double_sersic,1.657,0.026,0.026,0.7368217613256629,0.0012585397454568659,0.0011151515322220806,-21.62287643981284,0.1750963306631128,0.17805812955761624,0.6620642183047337,4.0,0.11062615730384773,-0.10377441558945731,91.30229079090942,4.527217722293006,1.0,0.11062615730384773,-0.10377441558945731,2.4360582663359183
SDSSJ2303+0037,single_sersic,1.282,0.004,0.004,0.7677158704781011,0.0017441951306680359,0.0018325409366093393,4.655441309053463,0.3800955674846742,0.22740747021002683,1.2825191452406515,4.0,0.13004056449458762,0.020881810174968297,19.70417503322795,,,,,
